outcome_name,marker1_name,marker2_name,combination_type,beta_comp,p_comp,aic_comp,beta_A,p_A,aic_A,beta_B,p_B,aic_B,aic_gain,p_comp_fdr,p_comp_bonferroni,survives_fdr,survives_bonferroni
Hypertension,Body Mass Index (kg/m2),Potassium (mmol/L),Ratio,0.5690882135432086,2.6152323563143977e-58,5360.166928924864,0.5260140113605285,5.775955989613849e-51,5400.130466097044,-0.165773368901781,3.573325669443097e-07,5617.412365451608,39.96353717217971,1.3947905900343455e-55,2.510623062061822e-54,True,True
Diabetes,Systolic BP (mmHg),WBC Count (10^3/uL),Ratio,-0.26777806991626185,7.138809236855958e-10,3881.627395510256,0.015687438641791656,0.7180643400870892,3922.8925237471904,0.037664184470327766,0.2744014077835797,3921.3415073050737,39.714111794817654,1.561106347922943e-08,6.85325686738172e-06,True,True
Diabetes,Hemoglobin (g/dL),Body Mass Index (kg/m2),Ratio,-0.857914674681196,4.628814378217814e-43,3826.9275695170627,-0.1959878043620332,5.1126621076805995e-06,4017.9861261737196,0.5732845702179254,1.1054361811642598e-39,3865.5989372680124,38.671367750949685,7.795897900156319e-41,4.443661803089101e-39,True,True
High Cholesterol,AST Liver Enzyme (U/L),ALT Liver Enzyme (U/L),Difference,-0.29218527531931393,3.3175021793617673e-15,5686.369823604026,0.014189148283145051,0.6626852042263007,5753.071332024798,0.173391897683348,1.1426425044904593e-07,5725.000873856071,38.63105025204459,1.2344194155764716e-13,3.1848020921872966e-11,True,True
High Cholesterol,ALT Liver Enzyme (U/L),AST Liver Enzyme (U/L),Difference,0.29218527531931393,3.3175021793617673e-15,5686.369823604026,0.173391897683348,1.1426425044904593e-07,5725.000873856071,0.014189148283145051,0.6626852042263007,5753.071332024798,38.63105025204459,1.2344194155764716e-13,3.1848020921872966e-11,True,True
Hypertension,"Glycohemoglobin (HbA1c, %)",Potassium (mmol/L),Ratio,0.318525339651301,6.135732504183767e-22,5643.767440915115,0.2515340912493016,2.0456630936430054e-14,5682.2653599750965,-0.1705148215601973,1.294449523831263e-07,5716.812572849764,38.49791905998154,4.090488336122511e-20,5.890303204016416e-18,True,True
Hypertension,BUN Kidney (mg/dL),HDL Cholesterol (mg/dL),Ratio,0.31856409539392627,5.092752883411259e-18,5662.781336383572,0.2327233420431656,1.553419355755871e-10,5701.064469180177,-0.22040427744585703,3.402576125659283e-10,5703.934102486688,38.28313279660506,2.43235958610687e-16,4.8890427680748085e-14,True,True
Diabetes,LDL Cholesterol (mg/dL),WBC Count (10^3/uL),Ratio,-0.6015329654132433,2.520505375182929e-17,1862.4214418173992,-0.4192358999349048,1.4394243669393046e-11,1900.3012717258098,0.33819249923113015,1.709854563259809e-09,1913.7635498924858,37.87982990841056,1.0612654211296542e-15,2.419685160175612e-13,True,True
Diabetes,Albumin (g/dL),WBC Count (10^3/uL),Ratio,-0.4132048432002657,5.867857552243744e-18,3891.002994038567,-0.2885737275389153,2.1132310012804783e-11,3928.57125128145,0.039040674654318326,0.2736653648479367,3971.4419503180734,37.56825724288274,2.7886847773039576e-16,5.633143250153995e-14,True,True
Hypertension,Creatinine Kidney (mg/dL),Potassium (mmol/L),Ratio,0.5836749450424241,2.1539783636618837e-20,5624.728526329407,0.48836008854145635,1.6004822439926257e-13,5662.22254159592,-0.16974378992547678,1.469888064187069e-07,5717.620410640071,37.49401526651309,1.2686007540585327e-18,2.0678192291154085e-16,True,True
