outcome,marker1,marker2,anomaly_type,n11_d,n11_v,p00_d,p10_d,p01_d,p11_d,p00_v,p10_v,p01_v,p11_v,or_d,or_l_d,or_u_d,or_v,or_l_v,or_u_v,beta1_d,beta2_d,beta3_d,p3_d,beta1_v,beta2_v,beta3_v,p3_v,beta_med_int_d,p_med_int_d,beta_med_int_v,p_med_int_v
statin_associated_diabetes,BMXWAIST,LBXSUA,Low-Low,34,36,0.42150968603874417,0.2857142857142857,0.448,0.23529411764705882,0.34440677966101696,0.19736842105263158,0.4777777777777778,0.08333333333333333,0.4401171215584338,0.15801827984216654,1.2258270428102223,0.1987848368775591,0.046445887470695134,0.8507838589018216,-0.5496132921335758,0.1543846304755937,-0.36134080622712733,0.4545404644735005,-0.7979154616711227,0.4917183243764245,-1.5698335034900082,0.019761554855765733,0.4809362641647548,0.3502368852473198,-0.3690327870121199,0.5865486589344878
statin_associated_diabetes,BMXWAIST,LBXTC,Low-High,22,23,0.43360433604336046,0.28205128205128205,0.3269230769230769,0.18181818181818182,0.36109117013639624,0.18518518518518517,0.2918918918918919,0.13043478260869565,0.3176783340717767,0.08147563639537499,1.238646648292374,0.3019594545498583,0.0675955257932892,1.3488986308188484,-0.6263437897788692,-0.5140406568224195,-0.002402658145803786,0.9968567929857991,-0.984174580831824,-0.4331595536545722,-0.07494563562615614,0.9116698171776771,-0.21499477232000105,0.7315185324472915,0.12832912554337156,0.8533749266709678
statin_associated_diabetes,BMXWAIST,LBXWBCSI,High-High,39,28,0.37924151696606784,0.6111111111111112,0.4647887323943662,0.6666666666666666,0.30675675675675673,0.5797101449275363,0.390625,0.5,3.2119648131918073,1.3427368012663403,7.683350863290964,2.2585258525852585,0.8581842862812212,5.943873720759816,0.8569380301881672,0.36628769993153976,-0.11691685706890681,0.7813446413990625,1.1451432947755549,0.3557089750038724,-0.6927651464898905,0.1298587837136449,0.07113752782253531,0.8675199032526967,-0.651314381182648,0.18176542833589582
statin_associated_diabetes,BMXWAIST,LBXWBCSI,Low-Low,23,36,0.43567639257294427,0.2929936305732484,0.32142857142857145,0.08695652173913043,0.36074637180373187,0.17333333333333334,0.3049645390070922,0.19444444444444445,0.1505880272349456,0.02679024577241476,0.8464556144483899,0.4503284405157732,0.15557989332170974,1.303482731653667,-0.552760938197641,-0.48793365850683423,-1.0442989751889553,0.18337680054851535,-1.0486522232399929,-0.25705690687250937,0.4047648548772344,0.4282556847113257,-1.1427635078630602,0.15397557833763076,0.4424354404877651,0.41204022873053114
statin_associated_diabetes,BMXWAIST,LBXSAPSI,Low-Low,30,35,0.41970310391363025,0.26490066225165565,0.45714285714285713,0.3333333333333333,0.34546805349182763,0.17218543046357615,0.3891402714932127,0.2,0.7080223332353806,0.2638914144371695,1.899628396131193,0.49833229690768277,0.1713736440634266,1.4490855901352975,-0.654398996668461,0.13558952341383762,0.27005258082658506,0.5631040733875565,-0.9793897743017345,0.2170194846593998,-0.05864836980631941,0.9063664524331625,1.1985023993203374,0.03671183270406856,0.7262855061350094,0.19771280744987052
statin_associated_diabetes,LBDHDD,LBXHGB,High-Low,23,21,0.419910657306956,0.24528301886792453,0.5786163522012578,0.30434782608695654,0.3210659898477157,0.30833333333333335,0.5454545454545454,0.23809523809523808,0.6278042382825981,0.2003696265462686,1.9670554285061779,0.7045080618624547,0.1966802541622998,2.5235456977781885,-0.6958649113544085,0.7266110269129249,-0.42587363940123785,0.4129487391835335,-0.04179854603407572,0.9546783662110164,-1.3549002958764353,0.019177941393426406,-0.19440399466850194,0.7575173253958033,-1.1058663740495969,0.07525976443814038
statin_associated_diabetes,LBDHDD,LBXHGB,Low-High,29,34,0.4005037783375315,0.6644736842105263,0.3237410071942446,0.4827586206896552,0.34339369550637155,0.3850574712643678,0.2111801242236025,0.38235294117647056,1.3999189113853483,0.5412219411595225,3.6210153532498888,1.2000680657969371,0.4852426299904598,2.967924237353005,0.9633148254380204,-0.48427803690439747,-0.3828488325985007,0.39776183209020965,0.1725173018298307,-0.6430752413700881,0.6643571789555868,0.1271720838570123,0.16565812040118322,0.7258673971807712,0.06598839287988378,0.8804753265280582
statin_associated_diabetes,LBDHDD,LBXHSCRP,High-Low,34,28,0.43450479233226835,0.2585034013605442,0.4166666666666667,0.23529411764705882,0.34294871794871795,0.2831858407079646,0.30952380952380953,0.35714285714285715,0.4173817808769911,0.14992284987275015,1.1619813200983746,1.0869104398516163,0.39795538823352034,2.968609897462183,-0.7082199662334048,-0.1013801254897482,-0.022279702975227664,0.9629089887597367,-0.310198135417019,-0.12623001258793393,0.5117493178331952,0.2864627880203878,0.38187992657843617,0.5342337773556647,0.8160715828757591,0.1442925567828339
statin_associated_diabetes,LBDHDD,LBXHSCRP,Low-High,21,48,0.37822164948453607,0.610062893081761,0.5294117647058824,0.8095238095238095,0.3273092369477912,0.345679012345679,0.3575757575757576,0.5208333333333334,6.391016548463358,1.626927216451547,25.10566674999683,2.228957033881729,1.0527053264281767,4.7195063368284424,0.8413793515468934,0.585825311364668,0.3863821089168874,0.5210667305782646,0.10289118295972073,0.09801500881835906,0.5821592361855334,0.1207912815374931,0.8022459303982098,0.20263305671393794,0.10658991799510313,0.7742650418886077
statin_associated_diabetes,LBDHDD,LBXSBU,High-Low,20,22,0.4307692307692308,0.2608695652173913,0.46060606060606063,0.2,0.33756166314305847,0.3135593220338983,0.3411371237458194,0.22727272727272727,0.3603244339303819,0.09098859378772908,1.4269227854003805,0.6164457023685387,0.1735487132256555,2.1896175252797283,-0.6802899823800044,0.06282743040375241,-0.4468234622822728,0.4647264890907238,-0.14270416964508514,-0.0594233321374561,-0.3767923116099464,0.5044058548032387,-0.1635651439832087,0.8118721399080208,-0.20390523787190204,0.7282762988348014
