outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,combination_type,n_samples,n_cases,beta_comp,p_comp,aic_comp,beta_A,p_A,aic_A,beta_B,p_B,aic_B,p_gain,aic_gain,p_comp_fdr,p_comp_bonferroni,survives_fdr,survives_bonferroni
high_cholesterol_binary,High Cholesterol,LBXSAL,Albumin (g/dL),LBXGLU,Fasting Glucose (mg/dL),Difference,2582,864.0,-0.4624010178946218,5.0210731923206605e-21,3184.3016320918487,-0.1134387912625519,0.0064585026838483,3288.134640936443,0.4614731847671319,5.5657166309451974e-21,3184.6502478251573,1.1084715194866162,0.3486157333086339,7.659264191675583e-20,2.7113795238531566e-17,True,True
stroke_binary,Stroke,LBXWBCSI,WBC Count (10^3/uL),LBXPLTSI,Platelet Count (10^3/uL),Difference,5020,243.0,0.201008295001724,0.0041159925357499,1941.158655644837,0.0189123913381913,0.652025816933036,1949.55521879028,-0.1976742106240314,0.0050723797382331,1941.504621383916,1.2323588281991198,0.3459657390790198,0.013020714524340633,1.0,True,False
stroke_binary,Stroke,LBXPLTSI,Platelet Count (10^3/uL),LBXWBCSI,WBC Count (10^3/uL),Difference,5020,243.0,-0.201008295001724,0.0041159925357499,1941.158655644837,-0.1976742106240314,0.0050723797382331,1941.504621383916,0.0189123913381913,0.652025816933036,1949.55521879028,1.2323588281991198,0.3459657390790198,0.013020714524340633,1.0,True,False
heart_attack_binary,Heart Attack,LBDLDL,LDL Cholesterol (mg/dL),LBXSKSI,Potassium (mmol/L),Difference,2353,125.0,-0.5174341175892359,1.2264202979032275e-06,955.1595346157516,-0.5137276187756835,1.4360563484159105e-06,955.5046835577998,0.2882312779199582,0.0011020802637402,970.6505227228716,1.1709332851642225,0.3451489420481266,5.773905500154689e-06,0.006622669608677428,True,True
heart_attack_binary,Heart Attack,LBXSKSI,Potassium (mmol/L),LBDLDL,LDL Cholesterol (mg/dL),Difference,2353,125.0,0.5174341175892359,1.2264202979032275e-06,955.1595346157516,0.2882312779199582,0.0011020802637402,970.6505227228716,-0.5137276187756835,1.4360563484159105e-06,955.5046835577998,1.1709332851642225,0.3451489420481266,5.773905500154689e-06,0.006622669608677428,True,True
depression_binary,Depression,LBXSCR,Creatinine Kidney (mg/dL),LBXWBCSI,WBC Count (10^3/uL),Difference,788,409.0,-0.1791600849205308,0.0226458715469195,1089.636986533158,-0.0534010931221758,0.4577068821924974,1094.7009468061935,0.1736194565819872,0.0272452997271278,1089.9807270077729,1.2031022816092038,0.3437404746146058,0.06553467650233939,1.0,False,False
depression_binary,Depression,LBXWBCSI,WBC Count (10^3/uL),LBXSCR,Creatinine Kidney (mg/dL),Difference,788,409.0,0.1791600849205308,0.0226458715469195,1089.636986533158,0.1736194565819872,0.0272452997271278,1089.9807270077729,-0.0534010931221758,0.4577068821924974,1094.7009468061935,1.2031022816092038,0.3437404746146058,0.06553467650233939,1.0,False,False
stroke_binary,Stroke,LBDLDL,LDL Cholesterol (mg/dL),LBXSUA,Uric Acid (mg/dL),Difference,2354,111.0,-0.2937222912411136,0.0057481305948774,890.6736773004611,-0.2873634208514967,0.0068455147848246,891.0094015997832,0.1274447871028757,0.1761360734294896,896.9531525970282,1.1909114923250332,0.3357242993221234,0.017818544898012604,1.0,True,False
stroke_binary,Stroke,LBXSUA,Uric Acid (mg/dL),LBDLDL,LDL Cholesterol (mg/dL),Difference,2354,111.0,0.2937222912411136,0.0057481305948774,890.6736773004611,0.1274447871028757,0.1761360734294896,896.9531525970282,-0.2873634208514967,0.0068455147848246,891.0094015997832,1.1909114923250332,0.3357242993221234,0.017818544898012604,1.0,True,False
liver_condition_binary,Liver Condition,LBXPLTSI,Platelet Count (10^3/uL),LBXSKSI,Potassium (mmol/L),Ratio,4896,269.0,-0.3113163255918191,6.856951452790215e-06,2066.3878342916723,-0.3095467273049642,8.008031782949648e-06,2066.723547549243,0.0481495818074181,0.4386406654183197,2087.332566896391,1.1678705672753509,0.33571325757066,3.0152718114875536e-05,0.03702753784506716,True,True
depression_binary,Depression,diastolic_bp,Diastolic BP (mmHg),BMXWAIST,Waist Circumference (cm),Difference,772,392.0,-0.1508586685860992,0.0379053336854512,1069.6858613139027,-0.0363364023753097,0.6141601749081432,1073.7784142603796,0.1449357103946149,0.0459987158052117,1070.0186873075777,1.2135156542063863,0.3328259936749873,0.10711083302011329,1.0,False,False
depression_binary,Depression,BMXWAIST,Waist Circumference (cm),diastolic_bp,Diastolic BP (mmHg),Difference,772,392.0,0.1508586685860992,0.0379053336854512,1069.6858613139027,0.1449357103946149,0.0459987158052117,1070.0186873075777,-0.0363364023753097,0.6141601749081432,1073.7784142603796,1.2135156542063863,0.3328259936749873,0.10711083302011329,1.0,False,False
diabetes_binary,Diabetes,LBXSAL,Albumin (g/dL),LBXTR,Triglycerides (mg/dL),Difference,2822,410.0,-0.3893769414185722,2.2351183373807317e-11,2288.1123640374144,-0.3456814570047865,3.5338679686186137e-11,2299.378885611077,0.387929844338771,2.5484314622364387e-11,2288.437855663657,1.1401774213095446,0.3254916262430924,1.6028737080817995e-10,1.206963902185595e-07,True,True
diabetes_binary,Diabetes,LBXTR,Triglycerides (mg/dL),LBXSAL,Albumin (g/dL),Difference,2822,410.0,0.3893769414185722,2.2351183373807317e-11,2288.1123640374144,0.387929844338771,2.5484314622364387e-11,2288.437855663657,-0.3456814570047865,3.5338679686186137e-11,2299.378885611077,1.1401774213095446,0.3254916262430924,1.6028737080817995e-10,1.206963902185595e-07,True,True
stroke_binary,Stroke,LBXGLU,Fasting Glucose (mg/dL),LBXSCA,Calcium (mg/dL),Ratio,2381,114.0,0.1750348671526066,0.0149223898016244,914.4093612623852,0.1702601423545394,0.0188581843708441,914.7312984910028,-0.0336986628893625,0.7260325757794915,919.239258336156,1.2637509555467648,0.3219372286174575,0.04408145783849659,1.0,True,False
