outcome,marker1,marker2,anomaly_type,n11_d,n11_v,rate_00_d,rate_11_d,rate_00_v,rate_11_v,or_d,or_l_d,or_u_d,or_v,or_l_v,or_u_v,beta3_d,p3_d,beta3_v,p3_v,beta_med_int_d,p_med_int_d,beta_med_int_v,p_med_int_v
uncontrolled_hypertension,LBXSBU,LBXSAPSI,High-Low,33.0,28.0,0.3630849220103986,0.48484848484848486,0.31532663316582915,0.2857142857142857,1.6535139279325326,0.6783840450332047,4.030325196892045,0.8999789599753992,0.3127411051536525,2.589880623464765,0.6443603119703002,0.11209406121217141,-0.1078470674747865,0.8145193396093291,0.5139269332564554,0.6666738848260154,-0.28218489446244366,0.7646301338300947
uncontrolled_hypertension,LBXSBU,LBXSAPSI,Low-High,22.0,38.0,0.35251798561151076,0.36363636363636365,0.3073469387755102,0.2631578947368421,1.076412303746147,0.3518057876971741,3.2934746618024286,0.8299863793524954,0.32526631959654023,2.117887246257611,-0.5748197175025145,0.2447003965679846,-0.6081119901440184,0.14825744203613553,-0.05876341795092377,0.9146239166353196,0.2808445618400991,0.52837916843177
uncontrolled_hypertension,LBXSCA,LBXSCR,High-High,23.0,44.0,0.3475238922675934,0.30434782608695654,0.3125269048643995,0.36363636363636365,0.8531599568451536,0.2728514688653749,2.667685517658553,1.2730466910566163,0.5690700574449814,2.8478881578950177,-0.7898287317179874,0.11078809039360128,0.27026579482823715,0.4545958074083354,-0.6571332864147118,0.4436584900425894,0.13606730955601126,0.8552446212987791
uncontrolled_hypertension,LBXSCA,LBXSCR,High-Low,26.0,28.0,0.35389888603256214,0.3076923076923077,0.32018464120856066,0.2857142857142857,0.8385899511126371,0.2867192214052567,2.4526890895575026,0.8800453623396745,0.3058254685359087,2.5324242728483974,-0.587798312824099,0.21331636121520792,0.19998517203939228,0.6669370982833871,0.47817260606040135,0.5273914557226291,0.04527833790538454,0.9317449564329608
uncontrolled_hypertension,LBXSCA,LBXSCR,Low-High,37.0,37.0,0.35686941726924715,0.5945945945945946,0.3133097762073027,0.32432432432432434,2.6153240215950357,1.1094610235931857,6.165083398585505,1.0740113202450674,0.43831862646589337,2.6316479528033687,1.0274333012272805,0.010515877365787943,0.2655205045268764,0.5309168833950765,-0.5115846361431807,0.43871962208414617,-0.4337056173315695,0.5243029023708095
uncontrolled_hypertension,LBXSCA,LBXSKSI,High-High,23.0,30.0,0.35799828913601367,0.34782608695652173,0.31533742331288345,0.2,0.9831680308136735,0.32561947008481273,2.968555217420707,0.5758329255227691,0.18378337548232757,1.804208662757942,-0.10410943101363847,0.8307502267871233,-0.4447906395336196,0.37743963672802483,-0.706852944025858,0.3170880128118725,-0.14061086128097244,0.8573760619188588
uncontrolled_hypertension,LBXSCA,LBXSKSI,High-Low,29.0,47.0,0.3535528596187175,0.3103448275862069,0.313893653516295,0.2765957446808511,0.8470867623556824,0.3063001605857031,2.342656241466316,0.8549933224514022,0.37099078782704004,1.9704359391729533,-0.6550604822297965,0.14587145108746294,-0.1959962149424985,0.5999604709312703,-0.6347506697590375,0.3795660250827001,-0.26321666844830643,0.6376470282190534
uncontrolled_hypertension,LBXSCA,LBXSNASI,Low-Low,25.0,29.0,0.3614005835764902,0.28,0.3125948406676783,0.2413793103448276,0.7161772723732379,0.2335657220415076,2.195998115566035,0.7327673337376187,0.24599573733814264,2.1827531289896163,-0.3629307804417719,0.46852438535749175,-0.2775339788628123,0.5782111783129943,-0.7717042672979938,0.2416867058969211,0.29072887112910767,0.677415367784787
uncontrolled_hypertension,LBXSCA,LBXSUA,High-High,29.0,61.0,0.35039028620988727,0.3448275862068966,0.31263664188893747,0.36065573770491804,0.9980019980019978,0.369935484103033,2.6923829446395455,1.2518907730276254,0.6277765660209719,2.496478193707138,-0.6512291004462403,0.1386470479024726,0.3040232994692025,0.3431937325852329,-0.6217732498348073,0.38231724322045335,-0.06419834284594536,0.8963926820221905
uncontrolled_hypertension,LBXSCA,LBXSUA,Low-Low,29.0,20.0,0.3570212765957447,0.4827586206896552,0.3130699088145897,0.4,1.6843167015696747,0.652924043512588,4.344950656012798,1.4915463917525775,0.47212261321961746,4.712145905443559,0.48149727495673994,0.26442937923643295,0.4201150546790585,0.41819600290535375,1.2650193149763338,0.011489240529166845,0.5007245722079842,0.4228070430449049
