outcome_name,marker1_name,marker2_name,anomaly_type,gate,n_samples,n11,n10,n01,n00,p00,p10,p01,p11,age00,age10,age01,age11,or10,or01,or11,beta1,p1,beta2,p2,beta3_adjusted,p3_adjusted,beta_age,p_age,beta_sex,p_sex,p3_fdr,p3_bonferroni,survives_fdr,survives_bonferroni
Heart Attack,Waist Circumference (cm),Triglycerides (mg/dL),High-Low,AND,2264,10,217,206,1831,0.0519,0.0553,0.0097,0.2,52.1,50.5,43.4,50.2,1.106,0.222,5.348,0.192,0.557689043296875,-1.5007,0.03930982143602413,3.1708,0.007531972352334795,0.0667,2.918671085597691e-17,-0.8495,7.486220871676799e-05,1.0,1.0,False,False
Diabetes,Waist Circumference (cm),HDL Cholesterol (mg/dL),TwoSided-TwoSided,AND,6418,226,1051,951,4190,0.106,0.1142,0.1272,0.2434,42.3,28.3,47.9,36.6,1.09,1.233,2.728,0.8366,2.2230600645410944e-11,0.0186,0.8743340641836569,0.6515,0.007851941603828884,0.0636,1.82520376387537e-134,-0.2835,0.0010080061420660307,1.0,1.0,False,False
High Cholesterol,Diastolic BP (mmHg),ALT Liver Enzyme (U/L),High-Low,AND,5125,18,494,397,4216,0.3375,0.3664,0.2091,0.5556,48.5,51.4,42.3,51.3,1.136,0.521,2.424,0.0791,0.4525573452100419,-0.5404,0.00021275256888397552,1.4275,0.007882950417697276,0.0556,2.935407565166678e-174,-0.0459,0.4912504989144403,1.0,1.0,False,False
Liver Condition,Fasting Glucose (mg/dL),hs-CRP Inflammation (mg/L),Low-Low,AND,2372,31,196,203,1942,0.0582,0.0204,0.0542,0.129,52.9,41.4,48.6,37.3,0.377,0.963,2.638,-0.8376,0.10615339016142823,-0.0234,0.9430231932279226,2.1412,0.008233904616365096,0.0201,0.00020906568415747024,-0.3595,0.04880688658886519,1.0,1.0,False,False
Diabetes,Hemoglobin (g/dL),WBC Count (10^3/uL),High-Low,XNOR,7524,43,656,653,6172,0.1121,0.1037,0.0781,0.1628,36.8,43.8,40.5,43.2,0.921,0.676,1.626,-0.387,0.008264608380899548,-0.6619,3.834637320829055e-05,1.2884,0.008353442694134967,0.059,2.3291903051196445e-150,-0.378,6.176860841927974e-06,1.0,1.0,False,False
Stroke,"Glycohemoglobin (HbA1c, %)",Sodium (mmol/L),TwoSided-TwoSided,AND,4905,139,642,538,3586,0.0455,0.0452,0.0558,0.1223,50.8,52.4,54.1,54.3,1.007,1.256,2.991,-0.0776,0.7116316645623256,0.0495,0.8124720076618569,1.0266,0.008700702661363793,0.057,1.8101243808228559e-31,0.1252,0.35855508296305594,1.0,1.0,False,False
Thyroid Problem,HDL Cholesterol (mg/dL),AST Liver Enzyme (U/L),High-Low,AND,4884,20,449,416,3999,0.1215,0.1114,0.1322,0.3,51.6,55.0,47.2,46.9,0.913,1.109,3.237,-0.5667,0.0005794142613003954,0.0275,0.8633121734420238,1.4756,0.008731446124522658,0.041,2.835133965652292e-45,1.2394,1.1246209585825752e-33,1.0,1.0,False,False
Stroke,Sodium (mmol/L),Albumin (g/dL),TwoSided-TwoSided,AND,4909,135,542,699,3533,0.0456,0.0554,0.0443,0.1259,51.8,55.2,47.3,49.8,1.243,0.984,3.084,0.0471,0.821239918798975,0.1464,0.4759907651209654,1.0269,0.008775597240920755,0.0574,4.570798362660874e-32,0.1188,0.3826420128790221,1.0,1.0,False,False
Hypertension,Creatinine Kidney (mg/dL),BUN Kidney (mg/dL),TwoSided-TwoSided,AND,5408,330,689,548,3841,0.3228,0.3788,0.3668,0.6,47.0,50.5,48.6,58.9,1.28,1.216,3.142,0.096,0.3175853323239508,0.1042,0.3415742347288616,0.5016,0.008860186463552583,0.059,6.511292589770135e-201,-0.0479,0.4605437686913664,1.0,1.0,False,False
Thyroid Problem,Body Mass Index (kg/m2),Uric Acid (mg/dL),High-Low,AND,4824,23,458,460,3883,0.121,0.1114,0.1217,0.3043,52.4,48.7,45.8,43.6,0.917,1.013,3.298,-0.1323,0.41721544491231266,-0.1085,0.49454990367612617,1.3505,0.009029038179271883,0.0394,6.930260839832509e-41,1.216,1.2862487216565466e-31,1.0,1.0,False,False
Liver Condition,Total Cholesterol (mg/dL),BUN Kidney (mg/dL),High-Low,AND,4895,37,443,320,4095,0.0554,0.0542,0.0406,0.1622,52.0,54.8,41.3,47.4,0.993,0.747,3.509,-0.0473,0.8310263794663107,-0.0325,0.9127849350573164,1.4966,0.009389705714104033,0.0224,3.92408814951555e-09,-0.2245,0.07757754833723952,1.0,1.0,False,False
Liver Condition,Creatinine Kidney (mg/dL),Sodium (mmol/L),High-High,AND,4901,37,441,258,4165,0.0535,0.059,0.0543,0.1892,49.9,63.3,54.8,65.5,1.125,1.046,4.338,-0.2523,0.25624940910695415,-0.0822,0.7729162244234319,1.4133,0.009929301840023174,0.0225,5.5860450392648225e-09,-0.2203,0.08569118706419311,1.0,1.0,False,False
Hypertension,Diastolic BP (mmHg),LDL Cholesterol (mg/dL),High-Low,OR,2454,13,226,227,1988,0.3164,0.6239,0.4273,0.5385,47.9,50.4,51.5,66.3,3.574,1.614,2.492,1.4232,1.113115684779801e-19,0.3285,0.04694638144572019,-1.6332,0.01008351236745648,0.0568,1.6180930697539828e-85,0.1024,0.2870396531259055,1.0,1.0,False,False
Thyroid Problem,Insulin (uIU/mL),HDL Cholesterol (mg/dL),High-Low,AND,2377,54,184,164,1975,0.1301,0.1196,0.0915,0.2222,51.6,51.5,51.8,44.0,0.924,0.692,1.963,-0.065,0.7932423694258423,0.0918,0.7543981890302383,1.3099,0.010198633511908318,0.0418,3.785332070839097e-24,1.4083,4.560710850649131e-21,1.0,1.0,False,False
