Biomarker_A,Biomarker_B,Combo_Type,beta_A,p_A,beta_B,p_B,beta_combo,p_combo,aic_gain,FDR_q
LBXSAPSI,LBXSAL,Ratio,0.1458847037821961,3.7277457984102805e-06,-0.17164354877724075,1.5129799741003685e-05,0.15641046331481745,2.635740200662552e-07,4.046198366347198,6.279263419225491e-07
LBXSAL,LBXSAPSI,Ratio,-0.17164354877724075,1.5129799741003685e-05,0.1458847037821961,3.7277457984102805e-06,-0.21364742452080507,3.322199874935585e-07,7.840221316218049,7.68851971056521e-07
LBXSCA,LBDHDD,Ratio,-0.0004577512211928805,0.9899538686786896,-0.17389731586759802,2.2024585731082155e-05,0.17866361057212532,3.673590247718582e-07,5.9537005596421295,8.265578057366811e-07
LBXSAL,LBXSCA,Ratio,-0.17135871883401702,1.561152010411506e-05,-0.0007132805239703025,0.9843484256168252,-0.19991108507983607,4.814721048415176e-07,6.410983952185234,1.0540335268152142e-06
LBXSNASI,LBDHDD,Ratio,-0.034555169558256306,0.3661485199205847,-0.1743723684310114,2.087998258915643e-05,0.1748871185627039,5.987433523390277e-07,5.150298602291514,1.2762687247226644e-06
LBXSASSI,LBDHDD,Difference,0.08944805016011469,0.005414017914994239,-0.17406128664031223,2.1705187721561816e-05,0.18210756221128216,1.2139273726939867e-06,7.227635493908565,2.458202929705323e-06
LBDHDD,LBXSASSI,Difference,-0.17406128664031223,2.1705187721561816e-05,0.08944805016011469,0.005414017914994239,-0.18210756221128216,1.2139273726939867e-06,7.227635493908565,2.458202929705323e-06
LBXHGB,LBDHDD,Ratio,-0.0225584598713382,0.6004673401966554,-0.17642293724441516,1.7708558655760802e-05,0.17932178688053965,1.7484638720053807e-06,2.4476045837309357,3.454282283717947e-06
LBXSCA,LBXSAL,Ratio,-0.0007132805239703025,0.9843484256168252,-0.17135871883401702,1.561152010411506e-05,0.17232402592787974,2.0014157202484334e-06,2.8245239819880226,3.859873174764836e-06
LBDHDD,LBXSCR,Ratio,-0.1742771423353215,2.1228427345894593e-05,0.036480673378369605,0.27750428953360795,-0.21067905281454496,3.734044033514998e-06,3.813076228110731,7.0338969003422054e-06
diastolic_bp,LBXWBCSI,Ratio,0.0433055776224517,0.25037999062246585,0.05535402108956374,0.12665231320614245,-0.1820914986709136,5.003273488483072e-06,17.48744312180952,9.210571649252928e-06
LBDHDD,LBXSKSI,Ratio,-0.17451563514713114,2.0651487961317273e-05,0.08777091593646627,0.02006240440871235,-0.18984349051395863,5.1777958142243156e-06,2.903507759335298,9.320032465603769e-06
LBXSKSI,LBXSAL,Difference,0.0885139868722198,0.019001861688532323,-0.17145699926286945,1.550831647876627e-05,0.18005363908267563,5.667751183826279e-06,2.114841792606967,9.767826508296353e-06
LBXSAL,LBXSKSI,Difference,-0.17145699926286945,1.550831647876627e-05,0.0885139868722198,0.019001861688532323,-0.18005363908267563,5.667751183826279e-06,2.114841792606967,9.767826508296353e-06
LBDHDD,LBXWBCSI,Difference,-0.17642293724441516,1.7708558655760802e-05,0.05914574201558871,0.13309506793232476,-0.17867253478614814,7.433968090634524e-06,3.068839340308841,1.2288804394722377e-05
LBXWBCSI,LBDHDD,Difference,0.05914574201558871,0.13309506793232476,-0.17642293724441516,1.7708558655760802e-05,0.17867253478614814,7.433968090634524e-06,3.068839340308841,1.2288804394722377e-05
LBXPLTSI,LBXWBCSI,Ratio,0.08737430275536397,0.016393223843076017,0.06345938139459502,0.13658806670334603,-0.17334824977227312,1.2743593278168166e-05,14.474366131377792,2.0644621110632426e-05
LBXIN,LBDHDD,Ratio,0.11716647171900132,0.0018705205051209462,-0.1995618020599351,0.0006762457683816549,0.15846451301779568,1.4461166372246449e-05,3.8503986753171375,2.2967734826509065e-05
LBXSBU,LBXWBCSI,Ratio,-0.04462051131245576,0.2889301774432278,0.05929836019933789,0.13295275422847366,-0.1917694170830584,2.834704038774803e-05,14.582009807684699,4.415596675783828e-05
LBXTR,LBXTC,Ratio,0.12534674658658673,0.0015832440826956836,0.016722071662138186,0.7532639409724915,0.1727469019421897,3.778927027556659e-05,6.1056960616624565,5.775341306265837e-05
LBXIN,LBDHDD,Difference,0.11716647171900132,0.0018705205051209462,-0.1995618020599351,0.0006762457683816549,0.17555051324951584,3.989037057778966e-05,3.142438269277136,5.87476366691084e-05
LBDHDD,LBXIN,Difference,-0.1995618020599351,0.0006762457683816549,0.11716647171900132,0.0018705205051209462,-0.17555051324951584,3.989037057778966e-05,3.142438269277136,5.87476366691084e-05
