outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,combination_type,n_samples,n_cases,beta_comp,p_comp,aic_comp,beta_A,p_A,aic_A,beta_B,p_B,aic_B,p_gain,aic_gain
hypertension_binary,Hypertension,LBXPLTSI,Platelet Count (10^3/uL),LBXSNASI,Sodium (mmol/L),Difference,5408,1900.0,-0.12964173673031104,8.97707874515025e-06,6995.560614603977,-0.12836999909797306,1.094803579034735e-05,6995.949669733793,0.03383078330077742,0.23577088869177276,7014.247426579992,1.2195543897018708,0.38905512981546053
hypertension_binary,Hypertension,LBXSNASI,Sodium (mmol/L),LBXPLTSI,Platelet Count (10^3/uL),Difference,5408,1900.0,0.12964173673031104,8.97707874515025e-06,6995.560614603977,0.03383078330077742,0.23577088869177276,7014.247426579992,-0.12836999909797306,1.094803579034735e-05,6995.949669733793,1.2195543897018708,0.38905512981546053
stroke_binary,Stroke,LBXGLU,Fasting Glucose (mg/dL),LBXSASSI,AST Liver Enzyme (U/L),Ratio,2374,114.0,0.17822048103310392,0.014918906042173536,913.6899241908795,0.16981322687100742,0.019314230843880804,914.0754826433183,-0.08188418381893635,0.4883781808538553,918.1270944050189,1.2946144167194522,0.3855584524387723
diabetes_binary,Diabetes,LBXHSCRP,hs-CRP Inflammation (mg/L),LBXSCA,Calcium (mg/dL),Ratio,5881,797.0,0.24912242734115128,9.741611275882957e-16,4603.864045351755,0.2502685929711799,1.3295561246766335e-15,4604.242024577408,-0.059007522150138235,0.12148462685573436,4668.163948395793,1.3648215752235768,0.37797922565368935
heart_attack_binary,Heart Attack,LBXSNASI,Sodium (mmol/L),BMXWAIST,Waist Circumference (cm),Difference,4649,217.0,-0.35689151277950015,4.3007651401672673e-08,1728.8024481473649,-0.047498436053825664,0.4919263139336586,1757.2367911589008,0.3544314462478898,5.239337180934499e-08,1729.177631649497,1.2182337352024595,0.37518350213213125
heart_attack_binary,Heart Attack,BMXWAIST,Waist Circumference (cm),LBXSNASI,Sodium (mmol/L),Difference,4649,217.0,0.35689151277950015,4.3007651401672673e-08,1728.8024481473649,0.3544314462478898,5.239337180934499e-08,1729.177631649497,-0.047498436053825664,0.4919263139336586,1757.2367911589008,1.2182337352024595,0.37518350213213125
stroke_binary,Stroke,LBXSCA,Calcium (mg/dL),LBXHGB,Hemoglobin (g/dL),Difference,4903,239.0,0.3002964132508065,1.6589966290482466e-06,1892.1589756411986,-0.013994309976267159,0.8329838530181122,1914.215687508513,-0.2958289118383417,1.866823295666109e-06,1892.526327757334,1.125272506874888,0.3673521161354074
stroke_binary,Stroke,LBXHGB,Hemoglobin (g/dL),LBXSCA,Calcium (mg/dL),Difference,4903,239.0,-0.3002964132508065,1.6589966290482466e-06,1892.1589756411986,-0.2958289118383417,1.866823295666109e-06,1892.526327757334,-0.013994309976267159,0.8329838530181122,1914.215687508513,1.125272506874888,0.3673521161354074
diabetes_binary,Diabetes,LBXSCA,Calcium (mg/dL),LBXHSCRP,hs-CRP Inflammation (mg/L),Difference,5881,797.0,-0.25110180439380303,1.0802661726976507e-15,4603.874701623962,-0.059007522150138235,0.12148462685573436,4668.163948395793,0.2502685929711799,1.3295561246766335e-15,4604.242024577408,1.2307671556135593,0.36732295344609156
diabetes_binary,Diabetes,LBXHSCRP,hs-CRP Inflammation (mg/L),LBXSCA,Calcium (mg/dL),Difference,5881,797.0,0.25110180439380303,1.0802661726976507e-15,4603.874701623962,0.2502685929711799,1.3295561246766335e-15,4604.242024577408,-0.059007522150138235,0.12148462685573436,4668.163948395793,1.2307671556135593,0.36732295344609156
stroke_binary,Stroke,diastolic_bp,Diastolic BP (mmHg),LBDLDL,LDL Cholesterol (mg/dL),Ratio,2249,103.0,0.2221684514229539,0.004389386969878918,833.5188695683187,-0.10989238269786777,0.2571528207293331,839.1649896647923,-0.27340958230403545,0.012931546971447726,833.8854529868422,2.946094081061266,0.3665834185235326
high_cholesterol_binary,High Cholesterol,LBXSAL,Albumin (g/dL),LBDLDL,LDL Cholesterol (mg/dL),Difference,2556,846.0,-0.30808666799904344,4.887221774601732e-13,3195.784893895873,-0.11164658929037258,0.007804362561858747,3242.3952213799794,0.30703843284745025,5.790865090223208e-13,3196.1409802287744,1.184899183482443,0.3560863329012136
high_cholesterol_binary,High Cholesterol,LBDLDL,LDL Cholesterol (mg/dL),LBXSAL,Albumin (g/dL),Difference,2556,846.0,0.30808666799904344,4.887221774601732e-13,3195.784893895873,0.30703843284745025,5.790865090223208e-13,3196.1409802287744,-0.11164658929037258,0.007804362561858747,3242.3952213799794,1.184899183482443,0.3560863329012136
high_cholesterol_binary,High Cholesterol,LBXSATSI,ALT Liver Enzyme (U/L),LBXHGB,Hemoglobin (g/dL),Difference,5384,1761.0,0.06984011370192714,0.013729073826708777,6804.296201810548,0.067830014195771,0.016628146578219476,6804.645630081267,-0.007421178082647119,0.7982761245859549,6810.297008206693,1.211163024403787,0.34942827071881766
high_cholesterol_binary,High Cholesterol,LBXHGB,Hemoglobin (g/dL),LBXSATSI,ALT Liver Enzyme (U/L),Difference,5384,1761.0,-0.06984011370192714,0.013729073826708777,6804.296201810548,-0.007421178082647119,0.7982761245859549,6810.297008206693,0.067830014195771,0.016628146578219476,6804.645630081267,1.211163024403787,0.34942827071881766
