outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,anomaly_type,gate,n_samples,n_cases,p00,p10,p01,p11,or10,or01,or11,beta1,p1,beta2,p2,beta3,p3,p3_fdr,p3_bonferroni,survives_fdr,survives_bonferroni
arthritis_binary,Arthritis,systolic_bp,Systolic BP (mmHg),LBXHSCRP,hs-CRP Inflammation (mg/L),High-High,OR,4663,1452.0,0.281767955801105,0.4823232323232323,0.4053398058252427,0.4259259259259259,2.374690186915357,1.7386546260120337,1.9011102963506137,0.8649722666394789,5.662856699689829e-16,0.552444419603285,2.2068272863616794e-07,-0.7802008570675032,0.0123409317334112,1.0,1.0,False,False
arthritis_binary,Arthritis,systolic_bp,Systolic BP (mmHg),LBXHGB,Hemoglobin (g/dL),Low-High,XNOR,4777,1487.0,0.3356269113149847,0.1619718309859155,0.230392156862745,0.3684210526315789,0.3847533870304269,0.594682080227342,1.1874762808349146,-0.9607855649921584,1.4843824069115522e-12,-0.5232544914480285,1.892415591264141e-05,1.627887267897721,0.0013642627146024,0.4385130154079143,1.0,False,False
arthritis_binary,Arthritis,diastolic_bp,Diastolic BP (mmHg),BMXBMI,Body Mass Index (kg/m2),High-Low,XNOR,4920,1503.0,0.3205992509363295,0.2729411764705882,0.2021505376344086,0.36,0.7975161786706292,0.538948441585589,1.2198709555657783,-0.2287318312580408,0.0448712839687573,-0.6218880258040909,2.3654075071665075e-07,1.0262749666919104,0.0217263367566088,1.0,1.0,False,False
arthritis_binary,Arthritis,diastolic_bp,Diastolic BP (mmHg),LBXSUA,Uric Acid (mg/dL),TwoSided-TwoSided,XOR,4667,1456.0,0.300392670157068,0.3411420204978038,0.3382749326145552,0.2903225806451613,1.2067635488784312,1.1913642427528186,0.9576586107373588,0.1872195717658356,0.0371659934700746,0.1744375123017634,0.0450842423311774,-0.410046259125195,0.0408077518546191,1.0,1.0,False,False
arthritis_binary,Arthritis,diastolic_bp,Diastolic BP (mmHg),LBXPLTSI,Platelet Count (10^3/uL),TwoSided-TwoSided,AND,4777,1487.0,0.2984644913627639,0.2949438202247191,0.3426294820717131,0.4623655913978494,0.9843268925858124,1.2258581113254423,2.0224293636264314,-0.0168720414037162,0.8529163153012039,0.2030223699234717,0.0184593656402345,0.5176473293162053,0.0062261233964533,0.8755486026262452,1.0,False,False
arthritis_binary,Arthritis,BMXBMI,Body Mass Index (kg/m2),LBXTC,Total Cholesterol (mg/dL),High-Low,XOR,4849,1496.0,0.2888269571826704,0.4541176470588235,0.3483412322274881,0.2909090909090909,2.048719435448516,1.3179377338719367,1.0282798461700675,0.7170408522119178,4.397877070048376e-12,0.2747495240855074,0.0109890328787286,-0.981675265213948,0.002985237801863,0.6266225130231325,1.0,False,False
arthritis_binary,Arthritis,BMXBMI,Body Mass Index (kg/m2),LBXTC,Total Cholesterol (mg/dL),TwoSided-TwoSided,XOR,4849,1496.0,0.2968900288554024,0.3341935483870967,0.3415265200517464,0.2582417582417582,1.1894857714838292,1.229061750115321,0.8299396809402526,0.1728728099896836,0.0435387843630859,0.2056526003675017,0.0160010267121684,-0.5715010733138473,0.0051697897843823,0.8308590724900125,1.0,False,False
arthritis_binary,Arthritis,BMXBMI,Body Mass Index (kg/m2),LBXSAL,Albumin (g/dL),High-Low,OR,4829,1493.0,0.2907628564465025,0.4497487437185929,0.3669354838709677,0.375,1.994229372655414,1.4167255171863469,1.4728334584610534,0.6899960140918764,9.111520897967291e-11,0.3462956392361638,0.0109827442653563,-0.6554353390264093,0.022107804618742,1.0,1.0,False,False
arthritis_binary,Arthritis,BMXBMI,Body Mass Index (kg/m2),LBXPLTSI,Platelet Count (10^3/uL),TwoSided-TwoSided,AND,4939,1522.0,0.2964808470881345,0.2860927152317881,0.3413654618473896,0.4380530973451327,0.9519492871546756,1.2306428447713071,1.851229478668108,-0.0503246815481945,0.5731476341861754,0.2068973103427554,0.0165073262817153,0.4584726165580749,0.0102681112789131,1.0,1.0,False,False
arthritis_binary,Arthritis,BMXWAIST,Waist Circumference (cm),LBXSAPSI,Alkaline Phosphatase (U/L),High-High,OR,4647,1425.0,0.2797571918712061,0.46,0.3924050632911392,0.4126984126984127,2.1933649320062325,1.664131872052664,1.8188087380166589,0.7853236835270453,1.7907806486755217e-13,0.5084525271794806,3.232247620473136e-06,-0.7009312517270431,0.0177959656744532,1.0,1.0,False,False
