outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,anomaly_type,gate,n_samples,n_cases,p00,p10,p01,p11,or10,or01,or11,beta1,p1,beta2,p2,beta3,p3
heart_attack_binary,Heart Attack,BMXBMI,Body Mass Index (kg/m2),LBXHGB,Hemoglobin (g/dL),High-High,AND,4940,239.0,0.048949320148331275,0.04212860310421286,0.04197530864197531,0.1282051282051282,0.8739098149415413,0.8731023214650419,3.0900229985762784,-0.15720473701991014,0.5219019223505912,-0.16101012350929778,0.5330342464976414,1.3680741204049063,0.02094677602198327
heart_attack_binary,Heart Attack,BMXBMI,Body Mass Index (kg/m2),LBXWBCSI,WBC Count (10^3/uL),Low-High,AND,4940,239.0,0.048701298701298704,0.02813852813852814,0.058426966292134834,0.1724137931034483,0.5852282587359071,1.2309350127572407,4.374393235555091,-0.5699511223658599,0.04997053872313734,0.19234802601420165,0.3710504934103537,1.7811095863526705,0.0032837543206237964
heart_attack_binary,Heart Attack,BMXWAIST,Waist Circumference (cm),LBXTR,Triglycerides (mg/dL),High-Low,AND,2264,111.0,0.05188421627525942,0.055299539170506916,0.009708737864077669,0.2,1.1060368657724107,0.2222890718007143,5.348013550970126,0.06735867426934515,0.8307486387349277,-1.719510809664517,0.016677248731361324,3.171319777895035,0.004231138389684479
heart_attack_binary,Heart Attack,BMXWAIST,Waist Circumference (cm),LBXWBCSI,WBC Count (10^3/uL),Low-High,AND,4753,220.0,0.049791449426485924,0.004484304932735426,0.05442176870748299,0.1,0.10706723017325184,1.1171151170244369,2.422834084975077,-2.4538391654761513,0.0005739702372392987,0.09380582494527172,0.6735301470884357,3.111646979590789,0.0011942534243385172
heart_attack_binary,Heart Attack,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXGLU,Fasting Glucose (mg/dL),TwoSided-TwoSided,AND,2425,127.0,0.04994192799070848,0.013452914798206279,0.06521739130434782,0.092,0.3003027800715662,1.3607687458927349,1.954278091850346,-1.3493530367750664,0.02258168104389767,0.2830743938837319,0.3274390601182091,1.722485062248266,0.01192607973520161
heart_attack_binary,Heart Attack,LBXGH,"Glycohemoglobin (HbA1c, %)",LBDLDL,LDL Cholesterol (mg/dL),Low-High,XNOR,2359,125.0,0.061352910330361825,0.004524886877828055,0.027649769585253458,0.07142857142857142,0.10366189028803009,0.468316483074292,1.693144208037825,-2.6658305823153197,0.008101288864851891,-0.8323017002109675,0.05011611349715007,3.660979889101794,0.014925512095293398
heart_attack_binary,Heart Attack,LBXGH,"Glycohemoglobin (HbA1c, %)",LBDLDL,LDL Cholesterol (mg/dL),TwoSided-TwoSided,AND,2359,125.0,0.04827136333985649,0.035422343324250684,0.06460674157303371,0.14563106796116504,0.7460455694285364,1.3804473602125111,3.431122739165055,-0.32290610035362216,0.2921112297694537,0.30879318126732047,0.2100028682689976,1.22626776102892,0.008700081215857188
heart_attack_binary,Heart Attack,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXSAPSI,Alkaline Phosphatase (U/L),High-High,OR,4901,243.0,0.041377601585728445,0.10317460317460317,0.07692307692307693,0.07216494845360824,2.687802519068868,1.9544952077338689,1.914488331821555,0.9803190810329544,1.5025819740624713e-07,0.6578508924957576,0.0013915165670134728,-1.0493119525199055,0.02692845907951643
heart_attack_binary,Heart Attack,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXSKSI,Potassium (mmol/L),Low-Low,AND,4900,243.0,0.0524849047840223,0.013888888888888888,0.034722222222222224,0.16666666666666666,0.28495443382720936,0.6792181387993865,4.068005411949014,-1.3693626089153945,0.0070402864882001485,-0.43171875257066983,0.18950073869462314,3.0849607171778857,0.0004084901584260485
heart_attack_binary,Heart Attack,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXSCA,Calcium (mg/dL),Low-High,AND,4900,243.0,0.05101058710298364,0.01730103806228374,0.0547945205479452,0.11764705882352941,0.3588504083531479,1.097171645497765,2.99392789373814,-1.1161718846765918,0.014506055889302089,0.07555229757314544,0.7330077894987436,1.9490810076116953,0.03128745525448279
heart_attack_binary,Heart Attack,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXSCA,Calcium (mg/dL),TwoSided-TwoSided,AND,4900,243.0,0.04753673292999136,0.0547945205479452,0.038580246913580245,0.13709677419354838,1.1733356342344927,0.8170981957907437,3.2523712499121764,0.14973666100301913,0.4284055138129349,-0.21812188943886368,0.3192912647230399,1.2263185425105423,0.0013060414664984108
heart_attack_binary,Heart Attack,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXHGB,Hemoglobin (g/dL),Low-High,AND,5005,245.0,0.051240056153486195,0.014084507042253521,0.045454545454545456,0.10344827586206896,0.29640773269340875,0.9018362930884563,2.4402372458847297,-1.3298610053163475,0.008891086185394751,-0.1258882009904114,0.6071486208918795,2.214899193686398,0.007461339091054948
heart_attack_binary,Heart Attack,LBXGLU,Fasting Glucose (mg/dL),LBXHGB,Hemoglobin (g/dL),Low-High,AND,2428,127.0,0.05446293494704992,0.025974025974025976,0.054187192118226604,0.18181818181818182,0.4982578397212543,1.0326530612244897,4.548872180451127,-0.7701082216960742,0.07019923075505599,-0.005367387949120271,0.9868412437824436,2.125630924149211,0.02409994003608231
heart_attack_binary,Heart Attack,LBXIN,Insulin (uIU/mL),LBXSASSI,AST Liver Enzyme (U/L),High-High,XOR,2367,126.0,0.04571135079609656,0.10106382978723404,0.09239130434782608,0.020833333333333332,2.388935581153903,2.1695155507379305,0.655748309320788,0.8531598138850103,0.0012943521262087053,0.7538390812811043,0.006449939556244748,-2.41852694723453,0.02451073093535202
heart_attack_binary,Heart Attack,LBXIN,Insulin (uIU/mL),LBXSBU,BUN Kidney (mg/dL),Low-Low,AND,2374,126.0,0.05600403632694248,0.03365384615384615,0.032467532467532464,0.1,0.6247426810134751,0.6174992876104204,2.136241337138198,-0.5326966340420074,0.1793370299071756,-0.5698102685496034,0.22045703594165345,1.729980450217147,0.04352514498313084
heart_attack_binary,Heart Attack,LBXIN,Insulin (uIU/mL),LBXSNASI,Sodium (mmol/L),TwoSided-TwoSided,AND,2377,126.0,0.04966686856450636,0.04854368932038835,0.055776892430278883,0.15873015873015872,0.9936228527311329,1.1614800637958531,3.7337298215802885,-0.024055060767692663,0.9250498927612488,0.12247169394890699,0.6805376477445493,1.185351051729489,0.020065835781149857
heart_attack_binary,Heart Attack,LBXIN,Insulin (uIU/mL),LBXSCA,Calcium (mg/dL),Low-Low,AND,2374,126.0,0.05611729019211325,0.03571428571428571,0.03164556962025317,0.14285714285714285,0.6575772325728312,0.6001226975942507,3.3497757847533634,-0.47327892377493946,0.20457021226267313,-0.5984420667289451,0.19795413444228327,2.1025194635052196,0.02915878722143323
heart_attack_binary,Heart Attack,LBXIN,Insulin (uIU/mL),LBXHSCRP,hs-CRP Inflammation (mg/L),Low-High,AND,2374,126.0,0.05392670157068063,0.03524229074889868,0.05726872246696035,0.2,0.676273480571787,1.0991182730313167,5.136402387041773,-0.4449358857740718,0.23409716687580928,0.06366764480227903,0.8336145557777,1.8596681822144958,0.0432436074606687
heart_attack_binary,Heart Attack,LBXTC,Total Cholesterol (mg/dL),LBXWBCSI,WBC Count (10^3/uL),High-High,AND,4924,243.0,0.05022376926902039,0.023255813953488372,0.06175771971496437,0.09803921568627451,0.47110582639714627,1.2641382216603456,2.231541218637993,-0.7979316140839534,0.014990271232683887,0.2189487773197756,0.30840158499406467,1.299517356908598,0.032723931667742664
heart_attack_binary,Heart Attack,LBDHDD,HDL Cholesterol (mg/dL),LBXSASSI,AST Liver Enzyme (U/L),Low-High,XOR,4888,243.0,0.04479448683238986,0.09115281501340483,0.06878306878306878,0.013513513513513514,2.1613049004377913,1.59890799572525,0.4340508806262231,0.7602018615278231,9.863410689238449e-05,0.45430680671549667,0.0362293053337015,-2.4451266650995986,0.019352653674534086
heart_attack_binary,Heart Attack,LBDLDL,LDL Cholesterol (mg/dL),LBXSUA,Uric Acid (mg/dL),TwoSided-TwoSided,AND,2350,125.0,0.04919093851132686,0.07008086253369272,0.03206997084548105,0.13186813186813187,1.4733501697833018,0.6643766278441201,3.0203066551568214,0.37615595687766723,0.10936703008042006,-0.4456358602305724,0.17461051624712698,1.1465425365614295,0.0205670505318372
heart_attack_binary,Heart Attack,LBXSATSI,ALT Liver Enzyme (U/L),LBXSAPSI,Alkaline Phosphatase (U/L),High-Low,AND,4905,243.0,0.05403367680321689,0.03023758099352052,0.02727272727272727,0.08695652173913043,0.5635057256193399,0.5095880249183062,2.0312415690929693,-0.6053660855493888,0.030800080971456086,-0.711617073216189,0.01806105874868376,1.828207374179707,0.030246718693974047
heart_attack_binary,Heart Attack,LBXSATSI,ALT Liver Enzyme (U/L),LBXHSCRP,hs-CRP Inflammation (mg/L),Low-High,AND,4892,243.0,0.049987807851743477,0.036303630363036306,0.0481651376146789,0.11538461538461539,0.7454779878137542,0.9811384284756441,2.6504722287627867,-0.3341628438458961,0.2893560535415236,-0.03906039688325898,0.8679151840009102,1.281036999092131,0.027540733221279968
