Biomarker_A,Biomarker_B,Gate_Type,N_Both,beta_A,beta_B,beta_int,z_int,p_int,dep_rate_both,dep_rate_control,FDR_q
BMXBMI,LBXIN,TwoSided,65,0.4496406765138395,0.8988766087785196,-0.6678720610085582,-1.4888399111448412,0.13652952976472768,0.13846153846153847,0.08533096576896518,0.8829995525349683
BMXBMI,LBXSAPSI,TwoSided,216,0.3839991652287,0.0971591080747873,0.3499276136906095,1.4870317487660853,0.13700642586301962,0.1712962962962963,0.08381734428199479,0.8829995525349683
LBXSASSI,LBXSNASI,High-Low,79,0.1078267721317825,0.28741260904217064,0.5565265910561601,1.484596448352863,0.137650756869278,0.17721518987341772,0.08495505284994567,0.8829995525349683
BMXWAIST,LBXSKSI,Low-Low,78,-0.30485816625455614,-0.11621065459241335,0.6007944990455448,1.4825622819054243,0.13819074458677746,0.11538461538461539,0.08544053733702094,0.8829995525349683
BMXWAIST,LBXSKSI,High-Low,54,0.4569328374375938,-0.10176579317756781,0.5804808302314441,1.482073988091433,0.13832060919533415,0.18518518518518517,0.08513992905005913,0.8829995525349683
LBXGLU,LBXHGB,High-Low,26,0.7460632482626189,0.23918427932793956,-1.1303863488454782,-1.4816678998490884,0.13842868235368586,0.07692307692307693,0.08569182389937106,0.8829995525349683
BMXWAIST,diastolic_bp,TwoSided,341,0.15233540710952842,0.030290298041615375,0.3163666791864647,1.473247505173233,0.14068430986852146,0.12609970674486803,0.084271372071798,0.8829995525349683
LBXGLU,LBXTR,TwoSided,55,0.533942014019209,0.005657908399340576,0.6719046648345396,1.46951644285035,0.14169276527979674,0.21818181818181817,0.08495121710850498,0.8829995525349683
LBXSBU,LBXSCA,High-Low,61,0.14175179838210344,-0.030348546492076935,-1.0932861143526593,-1.4688780383664717,0.1418658723785432,0.03278688524590164,0.08598757518982349,0.8829995525349683
LBXSAPSI,LBXSAL,TwoSided,287,0.28144904243094687,0.23571328188341104,-0.36214805185642973,-1.466419177106577,0.142534125041139,0.0975609756097561,0.08532526475037822,0.8829995525349683
